Case_ID;attrition;Ri_Global_Risk;Ci_Context_Score;Prioritization_Score;cw_prob;fin_prob;od_prob;hr_prob;mu_training_high;mu_education_high;mu_years_company_relevant;mu_years_role_relevant;mu_age_investment_window;mu_experience_sufficient;mu_role_adaptability
Abigail Anderson;Yes;0.979582;0.0;0.489791;0.999959;0.996824;0.922592;0.987873;0.4;0.333333;0.0;0.0;0.0;0.0;0.4
Adam White;Yes;0.964541;0.171429;0.567985;0.987199;0.996855;0.868661;0.986774;0.2;0.666667;0.285714;0.6;1.0;0.875;0.6
Alice Brown;Yes;0.929494;0.56;0.744747;0.986717;0.987725;0.725693;0.978174;0.6;0.666667;0.7;0.8;1.0;1.0;0.9
Andrew Ross;Yes;0.93023;0.466667;0.698448;0.98559;0.990341;0.771079;0.94296;0.6;0.333333;1.0;0.6;1.0;1.0;0.6
Andrew Wood;Yes;0.928752;0.566667;0.747709;0.992028;0.997232;0.71013;0.97307;0.8;0.333333;0.714286;0.8;1.0;0.75;0.6
Aria Adams;Yes;0.962919;0.171429;0.567174;0.995304;0.996986;0.874321;0.967838;0.4;0.666667;0.285714;0.6;1.0;1.0;0.4
Aria Flores;No;0.033052;0.433333;0.233193;0.001347;0.00737;0.141982;0.002706;0.2;0.666667;1.0;0.6;1.0;1.0;0.6
Brian Long;Yes;0.136774;0.0;0.068387;0.000557;0.002117;0.587846;0.044343;0.0;0.0;0.428571;0.6;1.0;0.75;0.6
Camila Phillips;Yes;0.989319;0.0;0.494659;0.99996;0.998764;0.965161;0.988699;0.4;0.333333;0.0;0.0;0.0;0.0;0.4
Caroline Bennett;Yes;0.936767;0.457143;0.696955;0.996007;0.996996;0.75305;0.965278;0.4;0.666667;0.571429;0.8;1.0;1.0;0.6
Caroline Roberts;No;0.02033;0.6;0.310165;0.000326;0.006197;0.084801;0.002537;1.0;0.333333;1.0;0.6;1.0;1.0;0.9
Claire Bailey;No;0.028208;0.533333;0.280771;0.000656;0.000443;0.12933;0.002087;0.4;0.666667;0.8;0.8;1.0;1.0;0.6
Diana Kelly;No;0.058491;0.36;0.209245;0.000543;0.004382;0.26699;0.002626;0.2;0.666667;0.9;0.4;1.0;1.0;0.7
Dominic Perry;No;0.022883;0.4;0.211442;0.003221;0.000867;0.101268;0.001438;0.4;0.666667;0.857143;0.6;0.714286;1.0;0.4
Eleanor Foster;Yes;0.957411;0.333333;0.645372;0.99376;0.990683;0.868083;0.95976;0.0;0.666667;0.714286;0.8;0.666667;0.75;0.6
Emma Smith;No;0.038839;0.366667;0.202753;0.070361;0.000458;0.090183;0.004482;0.4;0.333333;0.7;0.6;1.0;1.0;0.6
Evan Fisher;No;0.155582;0.4;0.277791;0.013967;0.072663;0.309783;0.255671;1.0;0.333333;0.571429;0.8;0.666667;0.75;0.4
Evan Rogers;No;0.002385;0.457143;0.229764;0.000389;0.000266;0.009527;0.000748;1.0;0.333333;0.571429;0.8;0.857143;1.0;0.7
Faith Baker;Yes;0.958564;0.2;0.579282;0.999951;0.990144;0.837539;0.983087;0.8;0.0;1.0;0.2;1.0;1.0;0.9
Hunter Adams;No;0.011028;0.571429;0.291228;0.002304;0.00024;0.046166;0.002245;0.6;0.666667;0.714286;0.8;1.0;1.0;0.9
Ian Fisher;Yes;0.943045;0.166667;0.554856;0.985159;0.997163;0.779763;0.978302;0.0;0.333333;0.428571;0.6;0.5;0.5;0.6
Jack Wood;Yes;0.952764;0.16;0.556382;0.992006;0.994285;0.811668;0.985635;0.6;0.333333;0.2;0.8;1.0;1.0;0.7
Jessica Wilson;Yes;0.9444;0.4;0.6722;0.997048;0.995535;0.780747;0.972436;0.6;0.666667;0.571429;0.8;1.0;0.625;0.4
John Price;No;0.002778;0.0;0.001389;0.000311;0.002173;0.008427;0.001298;0.8;0.333333;0.0;0.2;1.0;1.0;0.7
Jonathan Lewis;No;0.016134;0.3125;0.164317;0.000208;0.000264;0.074581;0.000861;1.0;0.0;0.571429;0.8;0.5;0.625;0.7
Jordan Bailey;Yes;0.946379;0.2;0.573189;0.994187;0.99761;0.776539;0.984122;0.4;0.666667;1.0;0.2;1.0;1.0;0.9
Julia Smith;No;0.004779;0.733333;0.369056;1.6e-05;0.000517;0.018587;0.002682;0.8;0.666667;1.0;0.8;1.0;1.0;0.9
Laura Baker;Yes;0.935868;0.6;0.767934;0.990951;0.993961;0.740833;0.979767;0.2;1.0;1.0;0.6;1.0;1.0;0.7
Liam Clark;No;0.17133;0.0;0.085665;0.001389;0.001085;0.805109;0.001108;0.2;0.333333;0.0;0.2;1.0;0.5;0.9
